processid;state;user;tasktype;taskid;action;pmmid;region;priority;
110535;OPEN;Approve GeoSlam;USER_TASK;201947;ASSIGNED;294;PRETORIA;3;#N/A
130025;OPEN;Approve GeoSlam;USER_TASK;202118;ASSIGNED;325;JOHANNESBURG;2;#N/A
120007;OPEN;Approve GeoSlam;USER_TASK;202120;ASSIGNED;326;JOHANNESBURG;2;#N/A
100121;OPEN;Approve GeoSlam;USER_TASK;201458;SUSPENDED;339;JOHANNESBURG;1;339
110318;OPEN;User task 2;USER_TASK;202305;ASSIGNED;390;CAPE TOWN;1;390
100334;OPEN;Approve GeoSlam;USER_TASK;202037;ASSIGNED;390;CAPE TOWN;1;390
120009;OPEN;Approve GeoSlam;USER_TASK;202122;ASSIGNED;397;JOHANNESBURG;2;#N/A
100261;OPEN;Approve Geoslam Resubmit;USER_TASK;202344;ASSIGNED;399;JOHANNESBURG;1;#N/A
120011;OPEN;Approve GeoSlam;USER_TASK;202125;ASSIGNED;472;PRETORIA;3;#N/A
120013;OPEN;Approve GeoSlam;USER_TASK;202128;ASSIGNED;476;PRETORIA;3;#N/A
110274;OPEN;User task 2;USER_TASK;202126;ASSIGNED;514;JOHANNESBURG;1;514
120015;OPEN;Approve GeoSlam;USER_TASK;202130;ASSIGNED;514;JOHANNESBURG;1;514
110531;OPEN;Approve Cad;USER_TASK;202342;ASSIGNED;515;JOHANNESBURG;1;#N/A
110529;OPEN;Approve GeoSlam;USER_TASK;201941;ASSIGNED;565;JOHANNESBURG;2;#N/A
110527;OPEN;Approve GeoSlam;USER_TASK;201939;ASSIGNED;566;JOHANNESBURG;2;#N/A
100291;OPEN;Approve GeoSlam;USER_TASK;201937;ASSIGNED;567;JOHANNESBURG;2;#N/A
100151;OPEN;Approve GeoSlam;USER_TASK;201516;SUSPENDED;620;PORT ELIZABETH;1;#N/A
100045;OPEN;Approve LS;USER_TASK;201448;ASSIGNED;633;JOHANNESBURG;2;633
100053;OPEN;Approve LS;USER_TASK;201446;ASSIGNED;638;JOHANNESBURG;2;638
110138;OPEN;User task 2;USER_TASK;201843;ASSIGNED;642;JOHANNESBURG;2;642
110523;OPEN;Approve GeoSlam;USER_TASK;201933;ASSIGNED;650;JOHANNESBURG;1;#N/A
110521;OPEN;Approve LS;USER_TASK;202352;ASSIGNED;651;JOHANNESBURG;1;651
